state,bill_number,title,bill_status,summary
"
Alabama
","
H 489
","
Public K-12 Education
","
Failed - Adjourned
","
Relating to student use of social media; requires course on risks and safety of social media; prohibits student access to social media through local school board internet.
"
"
Alabama
","
HJR 232
","
Protecting Children from Internet Pornography
","
Failed - Adjourned
","
Creates the Interim Study Commission on Protecting Children from Internet Pornography.
"
"
Alaska
","
None
", , , 
"
Arizona
","
S 1343
","
Digital and Media Instruction
","
Failed - Adjourned
","
Relates to Arizona Department of Education; relates to digital and media instruction.
"
"
Arkansas
","
S 66
","
Distribution of Harmful Material Act
","
Enacted
","
Creates the Protection of Minors from Distribution of Harmful Material Act; establishes liability for the publication or distribution of material harmful to minors on the internet; imposes duties on publishers and distributors of material harmful to minors; requires reasonable age verification; provides for individual rights of action; allows for attorney’s fees, court costs and punitive damages.
"
"
Arkansas
","
S 396
","
Social Media Safety Act
","
Enacted
","
Creates the Social Media Safety Act; requires age verification for use of social media; clarifies liability for failure to perform age verification for use of social media and illegal retention of data; requires parental consent; relates to liability for social media companies.
"
"
Arizona
","
S 1343
","
Digital and Media Instruction
","
Failed - Adjourned
","
Relates to Arizona Department of Education; relates to digital and media instruction.
"
"
Arizona
","
S 1503
","
Explicit Content and Age Verification
","
Failed - Adjourned
","
Provides that a commercial entity that intentionally or knowingly publishes or distributes material harmful to minors on the internet from a website that contains a substantial portion of such material shall verify that any person attempting to access material harmful to minors is at least a specified age; provides that verification may be made either using a commercially available database for the purposes of verification and through any other commercially reasonable method of verification.
"
"
Arkansas
","
S 396
","
Social Media Safety Act
","
Enacted
","
Creates the Social Media Safety Act; requires age verification for use of social media; clarifies liability for failure to perform age verification for use of social media and illegal retention of data; requires parental consent; relates to liability for social media companies.
"
"
California
","
A 787
","
Pupil Instruction: Digital Citizenship and Media
","
Pending - Carryover
","
Requires, on or before specified date, the superintendent of public instruction to survey teacher librarians, principals, and technology directors to understand how they are integrating digital citizenship and media literacy education into their curriculum. Requires the superintendent to convene and consult with an advisory committee consisting of specified representatives to develop best practices and recommendations for instruction in digital citizenship and media literacy.
"
"
California
","
A 836
","
Social Media Platform: First Amendment Forum
","
Pending - Carryover
","
Declares that, notwithstanding any law, a social media platform, as defined, shall be considered a traditional First Amendment forum for those purposes, as specified. Requires a social media platform located in the state to develop a policy or mechanism to address content or communications that constitute unprotected speech, including obscenity, incitement of imminent lawless action, and true threats, or that purport to state factual information that is demonstrably false.
"
"
California
","
A 873
","
Pupil Instruction: Media Literacy: Curriculum Framework
","
Enacted
","
Requires the Instructional Quality Commission to consider incorporating the Model Library Standards into the next revision of the English Language Arts/English Language Development curriculum framework after certain date, and to also consider incorporating media literacy content at each grade level. Requires the commission to consider incorporating media literacy content into the mathematics, science, and history-social science curriculum frameworks when those frameworks are next revised after certain date.
"
"
California
","
A 955
","
Controlled Substances
","
Pending - Carryover
","
Makes the sale of fentanyl on a social media platform in the state punishable by imprisonment in a county jail for a specified period.
"
"
California
","
A 1027
","
Social Media Platforms: Drug Safety Policies
","
Enacted
","
Provides that existing law requires a social media platform to create and post a policy statement regarding the use of the platform to illegally distribute controlled substances. Requires a platform to retain content it has taken down or removed for a violation of its policy related to controlled substances for a specified period, except when the platform has a good faith belief that the content is related to offering, seeking, or receiving of gender-affirming health care, mental care, or reproductive care.
"
"
California
","
A 1282
","
Mental Health: Impacts of Social Media
","
Pending - Carryover
","
Requires the Mental Health Services Oversight and Accountability Commission to explore, among other things, the persons and populations that use social media and the negative mental health risks associated with social media and artificial intelligence. Requires the commission to report to specified policy committees of the legislature a statewide strategy to understand, communicate, and mitigate mental health risks associated with the use of social media by children and youth.
"
"
California
","
A 1394
","
Commercial Sexual Exploitation: Child Sexual Abuse
","
Enacted
","
Provides that the California Consumer Privacy Act grants a consumer the right to request that a business delete personal information about the consumer that the business has collected from the consumer. Requires a social media platform to permanently block the instance of reported material and make reasonable efforts to remove and block other instances of the same material from being viewable on the platform if there is a reasonable basis to believe that the material is child sexual abuse material.
"
"
California
","
S 60
","
Social Media Platforms: Controlled Substances
","
Enacted
","
Provides that existing law authorizes a person who is the target of a violent post to seek an order requiring the social media platform to remove the violent post and any related violent post the court determines shall be removed in the interests of justice. Authorizes a person to seek an order requiring a social media platform to remove content that includes an offer to transport, import into this state, sell, furnish, administer, or give away a controlled substance in violation of specified law.
"
"
California
","
S 287
","
Features that Harm Child Users: Civil Penalty
","
Pending - Carryover
","
Prohibits a social media platform from using a design, algorithm or feature that the platform knows, or which by the exercise of reasonable care should have known, causes child users, as defined to do any of certain things, including experience addiction to the social media platform. Subjects a social media platform that knowingly and willfully violates these provisions to a civil penalty and an award of litigation costs and attorney's fees in an action brought only by certain public attorneys.
"
"
California
","
S 680
","
Features that Harm Child Users: Civil Penalty
","
Pending - Carryover
","
Relates to the California Age-Appropriate Design Code Act. Provides that a social media platform is not in violation if the platform instituted and maintained a program of at least quarterly audits of its designs, algorithms, and features that have the potential to cause violations, and the social media platform corrected, within a specified number of days of the completion of the audit, any design, algorithm, or feature discovered by the audit to present more than a de minimis risk of a violation.
"
"
California
","
S 764
","
Social Media Platforms: Minor Users: Civil Penalties
","
Pending - Carryover
","
Prohibits a social media platform from adopting or implementing a policy or practice related to the targeting of content to minors that prioritizes user engagement of minor users with the platform over the safety, health and well-being of the minor users if the platform knows or should know that prioritizing the user engagement of minor users with the platform over the safety, health, and well-being of the minor users has caused harm to minor users or it is reasonably foreseeable that it will cause harm.
"
"
California
","
S 845
","
Let Parents Choose Protection Act of 2023
","
Pending - Carryover
","
Requires large social media platform providers to create, maintain, and make available to specified third-party safety software providers a set of third party-accessible application programming interfaces to allow a third-party safety software provider, upon authorization by a child or a parent or legal guardian of a child, to monitor a child's online interactions, content, and account settings and initiate secure transfers of the child's user data for these purposes.
"
"
Colorado
","
None
", , , 
"
Connecticut
","
H 5025
","
Social Media Accounts
","
Failed
","
Concerns minors and social media accounts; requires a social media company to obtain consent from a minor's parent or guardian before allowing the minor to establish a social media account if the minor is younger than 16 years of age.
"
"
Connecticut
","
H 6253
","
Age-Appropriate Design Code
","
Failed
","
Adopts a Connecticut Age-Appropriate Design Code that creates privacy and safety obligations for providers of online products and services accessed by children.
"
"
Connecticut
","
H 6393
","
Data Privacy Protections for Minors
","
Failed
","
Establishes additional data privacy protections for minors.
"
"
Connecticut
","
S 25
","
Safe Social Media Awareness Weekend
","
Failed
","
Educates students about the safe and responsible use of social media and assists families in developing plans for healthy activities during summer vacation.
"
"
Connecticut
","
S 395
","
Social Media and Parental Consent
","
Failed
","
Concerns social media and parental consent; requires an internet operator to obtain parental consent before allowing a child under 16 years of age to open a social media account with the operator.
"
"
Connecticut
","
S 397
","
Cyberbullying
","
Failed
","
Concerns cyberbullying; establishes additional protections against cyberbullying on social media platforms.
"
"
Connecticut
","
S 405
","
Digital and Social Media Platforms
","
Failed
","
Concerns digital and social media platforms; imposes additional transparency requirements on digital and social media platforms, provide additional privacy protections to persons who use such platforms and ensure accuracy in journalism, and provide for verification of journalists and journalism, on such platforms.
"
"
Connecticut
","
S 654
","
Continuation of the Social Media Impact Study
","
Failed
","
Appropriates funds for continuation of the social media impact study; funds the second year of the Social Media Impact Study.
"
"
Connecticut
","
S 791
","
Take a Break from Social Media Day
","
Failed
","
Designates Take a Break from Social Media Day.
"
"
Delaware
","
None
", , , 
"
District of Columbia
","
None
", , , 
"
Florida
","
H 379
","
Student Use of Social Media Platforms
","
Enacted
","
Relates to technology in K-12 public schools; requires each district school board to adopt an internet safety policy for student access to the internet provided by the school district; provides requirements; requires each school district to prohibit and prevent student access to social media through internet access provided by the school district; provides an exception; prohibits the use of certain platforms on district-owned devices and through internet access provided by the school district.
"
"
Florida
","
H 591
","
Social Media Protection for Minors
","
Failed - Adjourned
","
Relates to social media protection for minors; requires social media platforms to disclose specified information and provide specified resources, measures, and disclaimers; prohibits social media platforms that fail to meet requirements from accepting new accounts from minors; requires Department of Agriculture and Consumer Services to enforce specified provision and implement specified measures; provides fine for violations.
"
"
Florida
","
H 1463
","
Childhood Mental Health Safety and Welfare
","
Failed - Adjourned
","
Relates to childhood mental health, safety, and welfare; revises array of services offered by child and adolescent mental health system of care; requires specified professionals to complete course on technology addiction and pornography addiction; requires warning label be affixed to packaging of certain digital devices; requires commercial entity to verify age of individuals attempting to access certain material online; prohibits entity from retaining personal identifying information; revises definition.
"
"
Florida
","
H 1547
","
Technology Transparency
","
Failed
","
Relates to technology transparency; prohibits officers or salaried employees of governmental entities from using their positions or state resources to make certain requests of social media platforms; prohibits governmental entities from initiating or maintaining certain agreements or working relationships with social media platforms; provides exceptions; prohibits controller from collecting certain consumer information.
"
"
Florida
","
S 52
","
Required Instruction in Public Schools
","
Failed
","
Relates to required instruction in public schools; requires members of the instructional staff of public schools to provide instruction on social medial safety; defines the term social media; requires the Department of Education to make social media safety instructional material available online.
"
"
Florida
","
S 262
","
Technology Transparency
","
Enacted
","
Prohibits officers or salaried employees of governmental entities from using their positions or state resources to make certain requests of social media platforms; prohibits governmental entities from initiating or maintaining agreements or working relationships with social media platforms under a specified circumstance; provides exceptions; prohibits certain conduct by an online platform that provides online services, products, games, or features likely to be predominantly accessed by children.
"
"
Florida
","
S 792
","
Social Media Protection for Minors
","
Failed - Adjourned
","
Relates to social media protection for minors; requires social media platforms to disclose specified information and provide specified resources, measures, and disclaimers; requires the Department of Agriculture and Consumer Services, subject to legislative appropriation, to enforce specified provisions and implement specified measures; provides a fine for violations.
"
"
Florida
","
S 1620
","
Childhood Mental Health Safety and Welfare
","
Failed - Adjourned
","
Relates to childhood mental health, safety, and welfare; revises the array of services offered by the child and adolescent mental health system of care; requires specified mental health care professionals to complete a course on technology addiction and pornography addiction by a specified date; requires that a warning label be affixed to the packaging of certain digital devices.
"
"
Georgia
","
H 338
","
Student Technology Protection Act
","
Pending - Carryover
","
Amends the Quality Basic Education Act, to provide for the inclusion of methods for the promotion of the safe and appropriate use of technology and responsible digital citizenship in the comprehensive character education program; revises requirements for internet safety polices in public schools; requires local boards of education and governing bodies of charter schools to annually submit acceptable-use policies and technology protection measures for review by the State Board of Education.
"
"
Guam
","
None
", , , 
"
Hawaii
","
H 79
","
Standard Based Media Literacy Curriculum
","
Pending - Carryover
","
Provides that when developing a standards-based curriculum and implementing it in a school or complex, at the minimum, the curriculum shall meet specified requirements; provides that school complexes shall be authorized to incorporate media literacy into standards-based curriculum as appropriate, including content that prevents the negative impacts of misinformation, disinformation, digital discrimination, and online hate speech.
"
"
Hawaii
","
S 914
","
Schools Media Literacy Curriculum
","
Pending - Carryover
","
Authorizes school complexes to incorporate media literacy in their standards-based curriculum, including content that prevents negative impacts of misinformation, disinformation, digital discrimination and online hate speech.
"
"
Idaho
","
None
", , , 
"
Illinois
","
H 1522
","
Study Article of the School Code
","
Pending
","
Amends the Courses of Study Article of the School Code; provides that, beginning Jan. 1, 2024, and at least once every three years thereafter, the State Board of Education shall review and submit a report to the General Assembly of recommended revisions to the internet safety education curriculum provisions to ensure the internet safety education curriculum aligns with current best practices and reflects current technology and customary uses of the internet.
"
"
Illinois
","
H 2970
","
Criminal Code
","
Pending
","
Amends the Criminal Code of 2012; creates the offense of unlawful publication of criminal activity; provides that a person commits the offense when he or she knowingly makes a video record or live video of a crime while the crime is being committed and transmits or uploads the video record or live video of the crime to a social media site; provides that a person who commits unlawful publication of criminal activity shall be sentenced to the same penalty as the penalty for the crime being transmitted.
"
"
Illinois
","
H 3880
","
Childrens Privacy Protection and Parental Empowerment
","
Pending
","
Creates the Children's Privacy Protection and Parental Empowerment Act; provides that a business that provides an online service, product, or feature likely to be accessed by children shall take specified actions, including completing a Data Protection Impact Assessment for any online service, product, or feature likely to be accessed by children.
"
"
Illinois
","
H 3943
","
Social Media Content Moderation Act
","
Pending
","
Creates the Social Media Content Moderation Act; provides that a social media company shall post terms of service for each social media platform owned or operated by the company in a manner reasonably designed to inform all users of the social media platform of the existence and contents of the terms of service; provides that on a semiannual basis, a social media company shall submit to the attorney general a terms of service report including specified information.
"
"
Illinois
","
S 1413
","
Pharmaceuticals on Social Media Act
","
Pending
","
Creates the Sale of Pharmaceuticals on Social Media Act; provides that, notwithstanding any other provision of law, no individual shall sell or advertise the sale of a pharmaceutical on social media unless the individual has completed a verification process with specified requirements.
"
"
Illinois
","
S 1739
","
Minor Online Data Privacy Act
","
Pending
","
Creates the Minor Online Data Privacy Act; contains only a short title provision.
"
"
Illinois
","
S 1782
","
Child Labor Law
","
Enacted
","
Amends the Child Labor Law; removes certain languages; sets forth certain information a vlogger is required to annually report to the Department of Labor, including, but not limited to the name and documentary proof of the age of the minor engaged in the work of vlogging, the number of vlogs that generated compensation during the reporting period and the total number of minutes each minor was featured in vlogs during the reporting period.
"
"
Illinois
","
S 1784
","
Child Labor Law
","
Pending
","
Amends the Child Labor Law; provides that a vlogger who features a minor child in a specified amount of the vlogger's content shared on an online platform must set aside a specified amount of gross earnings on the video content in a trust account to be preserved for the benefit of the minor upon reaching the age of majority; provides for the requirements of the trust account; defines terms.
"
"
Illinois
","
SR 249
","
Minors and Social Media Harmful Algorithms
","
Adopted
","
Urges the federal government to uphold its duty to create regulations that promote the well-being of minors and protect them from negative and harmful social media algorithms.
"
"
Indiana
","
S 142
","
Internet Safety Curricula for Schools
","
Failed - Adjourned
","
Relates to internet safety curricula for schools; provides that a school corporation may include instruction regarding internet safety in the school corporation's curriculum; requires the Department of Education to develop, not later than the specified date, age-appropriate curricula in internet safety for use at multiple grade levels and specifies topics that must be included in the curricula.
"
"
Iowa
","
H 526
","
Social Media Users
","
Pending - Carryover
","
Relates to social media users under the specified age; makes penalties applicable; includes applicability provisions.
"
"
Iowa
","
H 712
","
Social Media Data Collection Regarding Children
","
Pending - Carryover
","
Relates to social media data collection regarding children under 18 years of age; provides civil penalties; includes applicability provisions.
"
"
Kansas
","
S 222
","
Online Platforms and Removal of Liability Protections
","
Pending - Carryover
","
Relates to removing liability protections from online platforms and requiring certain wireless communication devices to have a default setting notifying parents of application downloads.
"
"
Kentucky
","
H 476
","
Protection of Minors
","
Failed - Adjourned
","
Defines terms; establishes a cause of action against any commercial entity that publishes matter harmful to minors on the internet without obtaining age verification; requires removal of personal data following review for access; establishes civil penalties for violations.
"
"
Louisiana
","
H 61
","
Contracts
","
Enacted
","
Relates to contracts with minors; relates to interactive computer services; provides for consent by a legal representative; provides for exceptions; provides for nullity; provides for definitions; provides for an effective date.
"
"
Louisiana
","
S 162
","
Commercial Regulations
","
Enacted
","
Creates the Secure Online Child Interaction and Age Limitation Act.
"
"
Maine
","
None
", , , 
"
Maryland
","
H 254
","
Social Media Regulation of Minors Accounts
","
Failed - Adjourned
","
Regulates children's social media accounts on large social media platforms in the state; requires large social media platforms to identify all public social media accounts created or operated by unauthorized minors and delete all associated user data; penalizes a large social media platform that violates the Act with a specified amount of fine per violation to be deposited in the Digital Citizenship Fund.
"
"
Maryland
","
H 711
","
Social Networks Public Service Advertisements and Fees
","
Failed - Adjourned
","
Requires certain social networks to dedicate at least 2% of advertisements on their platforms to certain public service announcements; requires certain social networks to pay a certain 9-1-1 social network fee; requires the comptroller to perform certain duties relating to the collection of the 9-1-1 social network fee.
"
"
Maryland
","
S 799
","
Public Schools Cyber Safety Guide
","
Failed - Adjourned
","
Requires the state Department of Education, the Behavioral Health Administration within the State Department of Health, the Maryland Center for School Safety, and the Department of Information Technology jointly to develop and publish a cyber safety guide to be made available in public schools beginning in the 2024-2025 school year; requires the cyber safety guide to be developed in consultation with professionals who specialize in child development and child psychology.
"
"
Maryland
","
S 844
","
Online Products Data Protection Impact Assessment
","
Failed - Adjourned
","
Requires a business that offers an online product likely to be accessed by children to complete a certain data protection impact assessment under certain circumstances, prohibits a business from offering a certain online product before completing a data protection impact assessment, requires businesses to document certain risks associated with certain online products, requires certain privacy protections for certain online products, prohibits certain data collection and sharing practices.
"
"
Massachusetts
","
H 80
","
Internet Privacy Rights for Children
","
Pending
","
Relates to internet privacy rights for children.
"
"
Massachusetts
","
H 560
","
Media Literacy in Schools
","
Pending
","
Relates to media literacy in schools.
"
"
Massachusetts
","
H 1893
","
Social Media Consumer Privacy Protection
","
Pending
","
Relates to social media consumer privacy protection.
"
"
Massachusetts
","
H 1986
","
Social Media Safety
","
Pending
","
Relates to the investigation by a special commission to promote safe social media use, identify best practices for social media platforms to safeguard children's mental health, and develop guidelines for safe social media use.
"
"
Michigan
","
H 4414
","
Data Security
","
Pending
","
Provides department to create resources concerning digital literacy and cyber safety on public website.
"
"
Minnesota
","
H 192
","
Education Finance
","
Pending - Carryover
","
Relates to education finance; promotes digital well-being education and training for the health, mental well-being, and learning of all Minnesota students as it relates to the use of digital media; appropriates money for a Minnesota-based organization that collaborates with communities to promote digital well-being.
"
"
Minnesota
","
H 1503
","
Consumer Protection
","
Pending - Carryover
","
Relates to consumer protection; prohibits certain social media algorithms that target children; prohibits from using a social media algorithm to target user-generated content at an account holder who is under the age of 18.
"
"
Minnesota
","
H 2257
","
Minnesota Age-Appropriate Design Code Act
","
Pending - Carryover
","
Provides that a business that develops and provides online services, products, or features that children are likely to access must consider the best interests of children when designing, developing, and providing that online service, product, or feature; provides for civil penalties.
"
"
Minnesota
","
S 163
","
Education Finance
","
Pending - Carryover
","
Relates to education finance; promotes digital well-being education and training for the health, mental well-being, and learning of all Minnesota students as it relates to the use of digital media; appropriates money for a Minnesota-based organization that collaborates with communities to promote digital well-being.
"
"
Minnesota
","
S 2101
","
Consumer Protection
","
Pending - Carryover
","
Relates to consumer protection; prohibits certain social media algorithms that target children.
"
"
Minnesota
","
S 2810
","
Consumer Data Privacy
","
Pending - Carryover
","
Relates to consumer data privacy; creates the Minnesota Age-Appropriate Design Code Act; places obligations on certain businesses regarding children's consumer information; provides for enforcement by the attorney general; provides that a business that develops and provides online services, products, or features that children are likely to access must consider the best interests of children when designing, developing, and providing that online service, product, or feature.
"
"
Mississippi
","
H 1091
","
Material Harmful to Minors on the Internet
","
Failed
","
Requires a commercial entity that publishes material harmful to minors on the internet to be held civilly liable whenever the entity fails to perform reasonable age verification methods on persons seeking access to the material; prohibits a commercial entity from retaining identifying information of persons seeking access to the material; declares legislative findings; defines certain terms.
"
"
Mississippi
","
H 1382
","
Social Media Company Community Standards
","
Failed
","
Requires a court of original jurisdiction to issue an injunction when a plaintiff demonstrates the violation of a social media company's community standards or policies by a defendant's communications on the social media company's platform; authorizes the court of original jurisdiction to enjoin the defendant, any social media company that distributes, hosts or disseminates the defendant's communication, or any corporate sponsor of the defendant; authorizes the court of original jurisdiction to consider filing criminal charges related to the communications to be enjoined as a factor in determining whether the defendant has violated a social media company's community standards or policies; to provide that a criminal conviction related to the communications that are the subject of the petition shall be sufficient evidence to merit the issuance of a permanent injunction under this section; to amend section 97-45-15, Mississippi Code of 1972, to define the term ""harass;"" and for related purposes.
"
"
Mississippi
","
S 2346
","
Pornographic Media Exposure to Children
","
Enacted
","
Regulates pornographic media exposure to children; provides the legislative intent; provides definitions; requires commercial entities that provide such content to have age verification systems; provides liability for those commercial entities that do not provide age verification.
"
"
Mississippi
","
S 2886
","
Material Harmful to Minors
","
Failed
","
Requires that any commercial entity that knowingly or intentionally publishes or distributes material harmful to minors on the internet from a website that contains a substantial portion of such material shall be held liable if the entity fails to perform reasonable age verification methods to verify the age of individuals attempting to access the material; states legislative intent and findings; defines terms; provides that this act shall not apply to bona fide news.
"
"
Mississippi
","
SCR 562
","
Walker Montgomery National Catfishing Awareness Month
","
Adopted
","
Designates October 2023 as Walker Montgomery National Catfishing Awareness Month in the state to bring attention to the victims of catfishing on social media and to direct the state board of mental health to develop recommendations to the legislature.
"
"
Missouri
","
H 492
","
Media Literacy and Critical Thinking Act
","
Failed - Adjourned
","
Establishes the Media Literacy and Critical Thinking Act.
"
"
Missouri
","
H 1249
","
Media Literacy and Critical Thinking Act
","
Failed - Adjourned
","
Establishes the Media Literacy and Critical Thinking Act.
"
"
Missouri
","
S 678
","
Media Literacy and Critical Thinking Act
","
Failed - Adjourned
","
Establishes the Media Literacy and Critical Thinking Act, which requires the Department of Elementary and Secondary Education to establish the Media Literacy and Critical Thinking pilot program.
"
