state,bill_number,title,bill_status,summary
"
Montana
","
H 770
","
Electronic and Social Media Communications Regulation
","
Failed
","
Revises regulation of electronic and social media communications; relates to communications; relates to crimes; relates to information technology; relates to liability; relates to state government.
"
"
Montana
","
HJR 26
","
Regulation of Social Networking Services
","
Failed
","
Requests an interim study of the ability for the state to regulate social networking services; requires that the results of the study be reported to the 69th legislature; reviews the current powers of the Montana Department of Justice to enforce penalties on federally regulated entities.
"
"
Montana
","
S 419
","
TikTok in State
","
Enacted
","
Bans TikTok in the state; prohibits an internet service provider from allowing the operation of TikTok in the state; prohibits a mobile application store from offering the TikTok application to state users; provides for penalties; provides for enforcement authority; provides definitions; provides for contingent voidness.
"
"
Montana
","
S 544
","
Internet Laws Related to Material Harmful to Minors
","
Enacted
","
Provides for liability for the publishing or distribution of material harmful to minors on the internet; provides for reasonable age verification; provides for individual rights of action; provides for attorney fees, court costs and punitive damages; provides for exceptions; requires a report by the Department of Justice for enforcement activity; provides for a fee; provides definitions.
"
"
Nebraska
","
L 106
","
Digital Grooming of a Vulnerable Adult
","
Pending - Carryover
","
Creates the offense of digital grooming of a vulnerable adult and prohibits using an electronic communication device or social media to engage in certain conduct with vulnerable adults.
"
"
Nebraska
","
L 107
","
Digital Grooming
","
Pending - Carryover
","
Creates the offense of digital grooming and prohibits using an electronic communication device or social media to engage in certain conduct with minors.
"
"
Nevada
","
A 320
","
Internet Privacy
","
Failed
","
Relates to internet privacy; imposes certain requirements on certain businesses that provide an online service, product or feature that is likely to be accessed by children; exempts certain information and entities from those requirements; provides a civil penalty for violations of those requirements; requires the attorney general to take certain actions before bringing a civil action against a business to recover such a civil penalty under certain circumstances.
"
"
New Hampshire
","
None
", , , 
"
New Jersey
","
A 1992
","
School Smart Phone and Social Media Usage Study
","
Failed - Adjourned
","
Establishes commission to study effects on adolescents of smart phone and social media usage in school.
"
"
New Jersey
","
A 4919
","
Childrens Data Protection Commission
","
Failed - Adjourned
","
Concerns social media privacy and data management for children and establishes New Jersey Children's Data Protection Commission.
"
"
New Jersey
","
A 5069
","
Social Media Platforms Child Safety
","
Failed - Adjourned
","
Prohibits social media platforms from using certain practices or features that cause child users to become addicted to platform.
"
"
New Jersey
","
A 5394
","
Social Media Local Law Enforcement Protocols
","
Failed - Adjourned
","
Requires local law enforcement develop protocol for social media in certain circumstances.
"
"
New Jersey
","
A 5474
","
Online Video Blogs Children Rights and Privacy
","
Failed - Adjourned
","
Protects monetary rights and privacy of minor children featured in online video blogs.
"
"
New Jersey
","
A 5744
","
Social Media Dangers Public Awareness Campaign
","
Failed – Adjourned
","
Establishes public awareness campaign on dangers of social media use to minors; appropriates funds.
"
"
New Jersey
","
A 5750
","
Social Media Platforms Minors Restrictions
","
Failed – Adjourned
","
Requires age verification and parent or guardian consent for a minor's use of a social media platform; provides that a social media company shall use an independent third party to verify the validity of government-issued identification or an alternate form of identification, and implement privacy protocols to ensure that information from the government-issued identification or alternate form of identification is not stored by the social media company following the completion of the verification process.
"
"
New Jersey
","
A 5845
","
Online Gaming Platforms Human Trafficking Prevention
","
Failed – Adjourned
","
Requires the Commission on Human Trafficking to identify methods to prevent human trafficking through online gaming platforms.
"
"
New Jersey
","
AR 167
","
Parental Consent for Social Media Use
","
Adopted
","
Urges the president and Congress to enact legislation that requires parental consent for children under 16 years of age to use social media and other websites.
"
"
New Jersey
","
AR 191
","
Kids Online Safety Act
","
Pending
","
Urges Congress and President of the United States to enact the Kids Online Safety Act.
"
"
New Jersey
","
S 715
","
School Adolescent Smart Phone Usage Study
","
Enacted
","
Establishes the Commission on the Effects of Social Media Usage on Adolescents to study social media usage in and out of public schools and to determine the effects that use has on the health and academic performance of students; provides for membership, including a member with demonstrated expertise in the collection, usage and analysis of data concerning social media and a school nurse from the New Jersey State School Nurses Association.
"
"
New Jersey
","
S 3493
","
Children Data Protection Commission
","
Pending
","
Concerns social media privacy and data management for children and establishes the State Children's Data Protection Commission.
"
"
New Jersey
","
S 3608
","
Social Media Platforms Child User Protections
","
Pending
","
Prohibits social media platforms from using certain practices or features that cause child users to become addicted to platform.
"
"
New Jersey
","
S 4215
","
Social Media Platform Age Verification
","
Failed – Adjourned
","
Requires age verification and parent or guardian consent for minor's use of social media platforms; prohibits certain messaging between adults and minors; provides that the term social media platform shall not include an internet-based service or application for which interactions between users are solely related to the provision of direct messages, commercial and financial transactions, peer-to-peer payments, consumer engagement around products, product reviews, sellers, services, events or places.
"
"
New Mexico
","
None
", , , 
"
New York
","
A 35
","
Commissioner of Education
","
Pending
","
Directs the commissioner of education to appoint a media literacy advisory group to study the teaching of media literacy; requires such group to survey all school districts.
"
"
New York
","
A 94
","
Commissioner of Education
","
Pending
","
Directs the commissioner of education to appoint a media literacy advisory committee to study the teaching of media literacy; requires such committee to annually review policy on media literacy.
"
"
New York
","
A 312
","
Laws Benefiting Child Performers
","
Pending
","
Relates to establishing protections for minors who are featured in influencer-generated content; provides that a minor under the specified age is considered engaged in work as an influencer when the specified criteria are met at any time during the previous period of a certain number of months; provides that a minor engaged in work as an influencer shall not be deemed a child performer regarding such work as an influencer.
"
"
New York
","
A 927
","
Interactive Computer Service Providers
","
Pending
","
Prevents interactive computer service providers from knowingly or negligently promoting developed content that is dangerous or otherwise injurious to minors; assesses a civil penalty to social media networks that knowingly or negligently promote such content.
"
"
New York
","
A 936
","
Parental Disclosures by Internet Platforms
","
Pending
","
Provides that upon request from a verified parent of a minor, an operator service who collects or maintains personal information from or about the user of or visitors to an platform or online service shall, to the extent practicable provide the verified parent with digital or physical copies of all advertisements and other content which the minor was shown by the operator on the operator's platform that were shown solely based on the minor's identifiers.
"
"
New York
","
A 1108
","
Interactive Computer Service Providers
","
Pending
","
Prohibits interactive computer service providers from knowingly promoting content to a targeted user and with the intention of developing the content, cause the user extreme emotional harm, physical injury or financial injury.
"
"
New York
","
A 1695
","
Set of Media Literacy Standards for Students
","
Pending
","
Creates a set of media literacy standards for students in grades kindergarten through 12 which focuses on internet safety, civility and digital citizenship.
"
"
New York
","
A 1942
","
Knowing and Reckless Promotion of False Material
","
Pending
","
Prohibits the knowing and reckless promotion of unlawful or false material; provides remedies for the violation of such prohibition.
"
"
New York
","
A 4967
","
Child Data Privacy Protection Act
","
Pending
","
Amends the General Business Law; enacts the state child data privacy protection act to prevent the exploitation of children's data; requires data controllers to assess the impact of its products on children for review by the Bureau of Internet and Technology; bans certain data collection and targeted advertising.
"
"
New York
","
A 5505
","
State Interagency Task Force on Human Trafficking
","
Pending
","
Directs the New York state Interagency Task Force on Human Trafficking to investigate connections between social media and human trafficking.
"
"
New York
","
A 6789
","
Social Media Companies Terms of Service
","
Pending
","
Provides that a social media company shall post terms of service for each social media platform owned or operated by the company in a manner reasonably designed to inform all users of the social media platform of the existence and contents of the terms of service; provides that the terms of service shall include specified information; provides that a social media company shall electronically submit a semiannual terms of service report to the attorney general.
"
"
New York
","
A 8101
","
Social Media Networks
","
Pending
","
Requires social media networks to use a third-party vendor to verify the age of new and existing social media account holders.
"
"
New York
","
A 8148
","
Stop Addictive Feeds Exploitation for Kids Act
","
Pending
","
Establishes the Stop Addictive Feeds Exploitation (SAFE) for Kids Act prohibiting the provision of addictive feeds to minors by addictive social media platforms; establishes remedies and penalties.
"
"
New York
","
A 8314
","
Online Products Targeted Towards Children
","
Pending
","
Requires online products targeted towards children provide features to protect child users including providing screen time controls, prohibiting the promotion of harmful or illegal activities; removes features which inappropriately amplify the level of engagement a child user has with the online product.
"
"
New York
","
S 395
","
Task Force on Human Trafficking
","
Enacted
","
Directs the New York State Interagency Task Force on Human Trafficking to investigate connections between social media and human trafficking; provides that the task force shall take specified actions, including but not limited to evaluating the use of social media in and its contribution to human trafficking.
"
"
New York
","
S 577
","
Promotion of Unlawful or False Material
","
Pending
","
Prohibits the knowing and reckless promotion of unlawful or false material; provides remedies for the violation of such prohibition.
"
"
New York
","
S 895
","
Social Media Companies
","
Pending
","
Requires social media companies to post terms of service for each social media platform owned or operated by the company in a manner reasonably designed to inform all users of the social media platform of the existence and contents of the terms of service; requires social media companies to submit to the attorney general certain terms of service reports; provides remedies for violations.
"
"
New York
","
S 1433
","
Social Media Monitoring Safety Act
","
Pending
","
Enacts the Social Media Monitoring Safety Act to provide data analytic resources and funding to every school district to facilitate the monitoring of social media activities to provide early-detection information of possible threats to a student's health and the safety of the school; makes an appropriation therefor.
"
"
New York
","
S 2319
","
Interactive Computer Service Providers
","
Pending
","
Prevents interactive computer service providers from knowingly or negligently promoting developed content that is dangerous or otherwise injurious to minors; assesses a civil penalty to social media networks that knowingly or negligently promote such content.
"
"
New York
","
S 2324
","
Parental Disclosures by Internet Platforms
","
Pending
","
Discloses to a parent the personal information and content about a minor collected by an operator of an internet platform when a parent requests such information.
"
"
New York
","
S 3281
","
State Child Data Privacy Protection Act
","
Pending
","
Enacts the New York Child Data Privacy Protection Act to prevent the exploitation of children's data; requires data controllers to assess the impact of its products on children for review by the bureau of internet and technology; bans certain data collection and targeted advertising.
"
"
New York
","
S 4848
","
Interactive Computer Service Providers
","
Pending
","
Prohibits interactive computer service providers from knowingly promoting content to a targeted user and with the intention of developing the content, cause the user extreme emotional harm, physical injury or financial injury.
"
"
New York
","
S 6418
","
Regulation of Social Media Companies and Platforms
","
Pending
","
Relates to the regulation of social media companies and social media platforms; provides for age requirements for the use of social media and parental consent; prohibits certain data collection from social media accounts; limits the hours a minor can have access to social media; establishes penalties for violations.
"
"
New York
","
S 6686
","
Social Media Open Application Programming
","
Pending
","
Relates to social media open application programming; requires social media platform to implement and maintain a standards-based application programming interface that permits third-party applications to retrieve data at no cost to be used for the user's benefit and to provide certain information to users; requires social media companies to submit a report to the attorney general.
"
"
New York
","
S 7662
","
Statewide Youth Mental Health and Social Media Campaign
","
Pending
","
Establishes a statewide youth mental health and social media campaign to promote public awareness of the impacts of social media usage on mental health; requires a course of study on social media usage for all students.
"
"
New York
","
S 7694
","
Stop Addictive Feeds Exploitation for Kids Act
","
Pending
","
Establishes the Stop Addictive Feeds Exploitation (SAFE) for Kids Act prohibiting the provision of addictive feeds to minors by addictive social media platforms; establishes remedies and penalties.
"
"
North Carolina
","
H 644
","
Social Media Addiction
","
Pending
","
Combats social media addiction by requiring that social media platforms respect the privacy of state users' data and not use a state minor's data for advertising or algorithmic recommendations and makes willful violations of data user privacy an unfair practice under General Statutes.
"
"
North Carolina
","
H 773
","
Let Parents Choose or Sammy's Law of 2023
","
Pending
","
Enacts the Let Parents Choose Protection Act of 2023 to facilitate management of the social media interactions of children.
"
"
North Dakota
","
None
", , , 
"
N. Mariana Islands
","
Not available
", , , 
"
Ohio
","
None
", , , 
"
Oklahoma
","
H 2420
","
State Department of Education
","
Pending - Carryover
","
Directs the State Department of Education to develop best practices and recommendations for instruction in digital citizenship, internet safety and media literacy.
"
"
Oklahoma
","
S 988
","
Consumer Protection
","
Pending - Carryover
","
Relates to consumer protection; relates to unlawful practices; prohibits the targeting to minors of content or messages containing obscene material; provides an effective date.
"
"
Oregon
","
H 3071
","
Effects of Social Media Among Youth
","
Failed
","
Requires the State Health Authority to study the effects of social media and cell phone use among youth.
"
"
Oregon
","
S 196
","
Online Products Services or Features
","
Failed
","
Requires business that provides online product, service or feature that a child is reasonably likely to access to identify, evaluate and mitigate risks to the child from online product, service or feature.
"
"
Oregon
","
S 257
","
Pornography Access Age Verification
","
Failed
","
Relates to verification of age of majority as a condition of a resident individual’s access to pornography; requires a person that provides public access to pornography to verify that resident individual is a specified age or older before granting access.
"
"
Pennsylvania
","
H 473
","
Media Literacy Education
","
Pending
","
Amends the act known as the Public School Code, in terms and courses of study; provides for media literacy education.
"
"
Pennsylvania
","
H 602
","
Social Media Opioid Bill
","
Pending
","
Amends the act known as The Controlled Substance, Drug, Device and Cosmetic Act; provides for reporting requirements of interactive computer service providers; imposes penalties.
"
"
Pennsylvania
","
HR 25
","
Social Media Platforms and Websites
","
Pending
","
Establishes a task force to study social media platforms and websites on which suicide is encouraged.
"
"
Pennsylvania
","
HR 73
","
Gun Violence and The Use of Social Media
","
Pending
","
Directs the Legislative Budget and Finance Committee to study, analyze and report on the relationship between gun violence and the use of social media.
"
"
Pennsylvania
","
S 22
","
Protection of Minors on Social Media
","
Pending
","
Amends Title 50 Mental Health of the Pennsylvania Consolidated Statutes; provides for protection of minors on social media; imposes penalties.
"
"
Pennsylvania
","
S 496
","
Media Literacy Education
","
Pending
","
Amends the act known as the Public School Code, in terms and courses of study; provides for media literacy education.
"
"
Puerto Rico
","
H 262
","
Cyber Privacy Protection Law
","
Pending
","
Creates the law for the protection of cyber privacy of our children and young people to prohibit any operator, employee or agent of an internet page classified as a social network, as defined herein, from publishing and or disclosing personal information of underage users residing in Puerto Rico, beyond the name and city where they reside, without the express consent of these and that of the father, mother or guardian with parental authority.
"
"
Puerto Rico
","
HJR 559
","
Public Broadcasting
","
Pending
","
Orders the Police Bureau, the Department of Education and the Puerto Rico Corporation for Public Broadcasting, to jointly carry out a cycle of orientations to the parents or guardians of the students of the public education system and to the public in general, about the risks of uploading photos of minors on social networks.
"
"
Puerto Rico
","
S 1240
","
Prevention of Mistreatment
","
Pending
","
Amends the law for the prevention of mistreatment, preservation of the family unit and for the safety, well-being and protection of minors; broadens the definition of negligence for provide as a type of abuse the modality in which the father, mother or responsible person exposes a minor to smart devices or electronic and communication media without taking technological, automatic or mechanical measures to prevent a minor from being controlled, manipulated, monitored and/or cyberbullied.
"
"
A. Samoa
","
Not available
", , , 
"
South Carolina
","
H 3021
","
Obscenity Law
","
Pending - Carryover
","
Defines certain terms, prohibit the distribution of sensitive crime scene images on social media or through other similar means; provides a penalty.
"
"
South Carolina
","
S 404
","
Internet Based Application Prohibition
","
Pending - Carryover
","
Prohibits operators of internet-based applications from using automated decision systems to place content on social media platforms for users under the specified age who are residents of the state; requires operators to perform age-verification practices for certain users; establishes that a violation is an unfair or deceptive act or practice under the state unfair trade practices act, and for other purposes.
"
"
South Dakota
","
None
", , , 
"
Tennessee
","
None
", , , 
"
Texas
","
H 18
","
Protection of Minors
","
Enacted
","
Relates to the protection of minors from harmful, deceptive, or unfair trade practices in connection with the use of certain digital services and electronic devices, including the use and transfer of electronic devices to students by a public school.
"
"
Texas
","
H 22
","
Drug Induced Abortions
","
Failed - Adjourned
","
Relates to abortion, including civil liability for distribution of abortion-inducing drugs and duties of internet service providers; creates a criminal offense; authorizes a private civil right of action.
"
"
Texas
","
H 99
","
Digital Citizenship Instruction in Public Schools
","
Failed - Adjourned
","
Relates to digital citizenship instruction in public schools.
"
"
Texas
","
H 896
","
Use of Social Media Platforms by Children
","
Failed - Adjourned
","
Relates to prohibiting use of social media platforms by children.
"
"
Texas
","
H 1181
","
Restricting Access to Pornographic Materials
","
Enacted
","
Relates to the publication or distribution of sexual material harmful to minors on an internet website; provides a civil penalty.
"
"
Texas
","
H 1594
","
Duties of Social Media Companies Regarding Prostitution
","
Failed - Adjourned
","
Relates to the duties of social media companies regarding prostitution and trafficking of persons; creates a criminal offense.
"
"
Texas
","
H 2155
","
Social Media Algorithm Prohibitions
","
Failed - Adjourned
","
Relates to prohibiting social media platforms from using certain social media algorithms to target minors.
"
"
Texas
","
H 2206
","
Prohibition of Certain Social Media Platforms
","
Failed - Adjourned
","
Relates to a prohibition of certain social media platforms developed or provided by certain foreign entities.
"
"
Texas
","
H 2690
","
Liability for Distribution of Abortion Inducing Drugs
","
Failed - Adjourned
","
Relates to abortion, including civil liability for distribution of abortion-inducing drugs and duties of internet service providers; creates a criminal offense; authorizes a private civil right of action.
"
"
Texas
","
H 2790
","
School Access to Social Media and Social Networking
","
Failed - Adjourned
","
Relates to access to social media and social networking websites on public school campuses.
"
"
Texas
","
H 3134
","
Notification of Social Media Posted Threats
","
Failed - Adjourned
","
Relates to requiring social media platform operators to identify and notify law enforcement of credible threats of violence published on their platforms; creates a criminal offense.
"
"
Texas
","
H 3357
","
Civil Liability for Obscenity
","
Failed - Adjourned
","
Relates to civil liability for obscenity.
"
"
Texas
","
H 3570
","
Restricting Access to Sexual Material Harmful to Minors
","
Failed - Adjourned
","
Relates to restricting access to sexual material harmful to minors on an internet website.
"
"
Texas
","
H 3585
","
Restricting Access to Sexual Material Harmful to Minors
","
Failed - Adjourned
","
Relates to restricting access to sexual material harmful to minors on an internet website.
"
"
Texas
","
H 4412
","
Minors and Digital Service Provider Agreements
","
Failed - Adjourned
","
Relates to online agreements between certain minors and certain digital service providers.
"
"
Texas
","
H 4804
","
Social Media Platforms to Include Certain Warnings
","
Failed - Adjourned
","
Relates to requiring social media platforms to include certain warnings in connection with advertisements for medical procedures or treatments conducted in a foreign country.
"
"
Texas
","
H 5104
","
Technology Applications Curriculum
","
Failed - Adjourned
","
Relates to the essential knowledge and skills of the technology applications curriculum for public school students.
"
"
Texas
","
HCR 46
","
Pass Legislation to Protect Children
","
Failed - Adjourned
","
Urges Congress to pass legislation to protect children from the harms of social media.
"
"
Texas
","
S 2021
","
Websites Containing Sexual Material Harmful to Minors
","
Failed - Adjourned
","
Relates to requirements for certain internet websites containing sexual material harmful to minors.
"
"
Texas
","
S 2141
","
Essential Knowledge and Skills Curriculum
","
Failed - Adjourned
","
Relates to the essential knowledge and skills of the technology applications curriculum for public school students.
"
"
Texas
","
S 2164
","
Restricting Access to Sexual Material Harmful to Minors
","
Failed - Adjourned
","
Relates to restricting access to sexual material harmful to minors on an internet website.
"
"
Texas
","
S 2255
","
Social Media Companies and Law Enforcement Cooperation
","
Failed - Adjourned
","
Relates to cooperation between social media companies and law enforcement agencies; imposes a civil penalty.
"
"
Texas
","
H 22, Second Special Session
","
Drug Induced Abortions
","
Failed - Adjourned
","
Relates to abortion, including civil liability for distribution of abortion-inducing drugs and duties of internet service providers; creates a criminal offense; authorizes a private civil right of action.
"
"
Utah
","
H 311
","
Social Media Usage Amendments
","
Enacted
","
Regulates interactive computer services and the use and design of social media platforms; enacts the Utah Social Media Regulation Act; prohibits a social media company from using a design or feature that causes a minor to have an addiction to the company's social media platform; grants the Division of Consumer Protection enforcement and auditing authority to enforce requirements under the act; authorizes a private right of action to collect attorney fees and damages from a social media company.
"
"
Utah
","
H 524
","
Social Media Usage Modifications
","
Failed
","
Authorizes the Division of Consumer Protection to administer and enforce the Utah Digital Expression Act; requires a social media company to publicly disclose information regarding its information management and its content moderation practices; requires a social media company to publish an acceptable use policy on prohibited material and content compliance; requires a social media company to have an easily accessible complaint and appeal process for complaint resolution.
"
"
Utah
","
S 74
","
Digital Wellness Citizenship and Safe Technology
","
Failed
","
Requires the Digital Wellness, Citizenship, and Safe Technology Commission to study and prepare a report on age-appropriate social media use for minors; extends the repeal date for the commission.
"
"
Utah
","
S 152
","
Social Media Regulation Amendments
","
Enacted
","
Enacts the Utah Social Media Regulation Act; requires a social media company to verify the age of state residents; requires a social media company to obtain the consent of a parent or guardian before a state resident under a specified age may maintain or open an account; prohibits a social media company from permitting a person to open an account if that person does not meet age requirements under state or federal law; provides for a private right of action.
"
"
Utah
","
S 287
","
Online Pornography Viewing Age Requirements
","
Enacted
","
Creates obligations and liabilities for a commercial entity that provides pornography or other materials harmful to minors; provides that a commercial entity that knowingly and intentionally publishes or distributes material harmful to minors on the internet from a website that contains a substantial portion of such material shall be held liable if the entity fails to perform reasonable age verification methods to verify the age of an individual attempting to access the material.
"
"
Vermont
","
None
", , , 
"
Virginia
","
H 1391
","
Commission on Social Media
","
Failed
","
Relates to Commission on Social Media established; relates to report; establishes the 20-member Commission on Social Media in the legislative branch to study and make recommendations on the impacts and harms to citizens caused by social media platforms hosting or amplifying content that includes threats or suggestions of physical violence or danger toward citizens, institutions, groups, associations, or physical structures of the commonwealth; provides that the commission will study the impact.
"
"
Virginia
","
H 1575
","
Safety While Accessing Technology Education Program
","
Enacted
","
Provides that the Internet Safety Advisory Council may collaborate with law-enforcement agencies, criminal justice agencies, and other nongovernmental organizations with expertise in child online safety issues and human trafficking prevention; provides that the council shall develop adoption model instructional practices for and instructional content on the safe use of media and technology by students and teachers in public elementary and secondary schools in the commonwealth.
"
"
Virginia
","
S 1515
","
Material Harmful to Minors on the Internet
","
Enacted
","
Provides that any commercial entity that knowingly publishes or distributes material harmful to minors on the internet from a website that contains a substantial portion of such material shall, through the use of a commercially available database that is regularly used by businesses or governmental entities for the purpose of age and identity verification or another commercially reasonable method, verify that any person attempting to access material is a certain age or older; provides for civil liability.
"
"
U.S. Virgin Islands
","
None
", , , 
"
Washington
","
H 1627
","
For Profit Family Vlogs and Minor Children
","
Pending
","
Protects the interests of minor children featured on for-profit family vlogs.
"
"
Washington
","
S 5626
","
Media Literacy and Digital Citizenship
","
Pending - Carryover
","
Expands and enhances media literacy and digital citizenship in various school.
"
"
West Virginia
","
H 2460
","
Online Privacy Protection Laws for Children
","
Failed - Adjourned
","
Provides online privacy protection laws for children.
"
"
West Virginia
","
H 2964
","
Online Privacy Protection for Minors
","
Failed - Adjourned
","
Relates to online privacy protection for minors.
"
"
Wisconsin
","
A 373
","
Use of Social Media Platforms by Minors
","
Pending
","
Concerns use of social media platforms by minors; grants rulemaking authority; provides a penalty.
"
"
Wisconsin
","
S 385
","
Use of Social Media Platforms by Minors
","
Pending
","
Relates to the use of social media platforms by minors; grants rulemaking authority; provides for a penalty.
"
"
Wyoming
","
None
", , , 
